Date,Silver_PKR_per_Ounce
2020-04-02,2409.56
2020-04-03,2398.53
2020-04-06,2538.58
2020-04-07,2508.56
2020-04-08,2511.78
2020-04-09,2576.6
2020-04-10,2549.09
2020-04-13,2569.26
2020-04-14,2613.49
2020-04-15,2572.02
2020-04-16,2591.68
2020-04-17,2532.41
2020-04-20,2494.41
2020-04-21,2402.06
2020-04-22,2416.64
2020-04-23,2438.74
2020-04-24,2455.24
2020-04-27,2437.99
2020-04-28,2439.89
2020-04-29,2467.96
2020-04-30,2401.39
2020-05-01,2400.8
2020-05-04,2352.77
2020-05-05,2385.84
2020-05-06,2372.6
2020-05-07,2445.51
2020-05-08,2472.97
2020-05-11,2471.59
2020-05-12,2476.82
2020-05-13,2506.67
2020-05-14,2546.61
2020-05-15,2659.91
2020-05-18,2744.31
2020-05-19,2791.41
2020-05-20,2806.66
2020-05-21,2739.81
2020-05-22,2763.92
2020-05-25,2757.45
2020-05-26,2764.78
2020-05-27,2776.28
2020-05-28,2807.81
2020-05-29,2874.56
2020-06-01,2986.97
2020-06-02,2989.17
2020-06-03,2915.13
2020-06-04,2891.56
2020-06-05,2847.73
2020-06-08,2893.7
2020-06-09,2881.01
2020-06-10,2956.48
2020-06-11,2899.91
2020-06-12,2875.45
2020-06-15,2865.36
2020-06-16,2887.1
2020-06-17,2896.71
2020-06-18,2897.33
2020-06-19,2936.56
2020-06-22,2968.24
2020-06-23,3006.14
2020-06-24,2939.61
2020-06-25,2985.56
2020-06-26,2979.11
2020-06-29,3003.74
2020-06-30,3055.3
2020-07-01,3024.82
2020-07-02,3014.52
2020-07-03,3025.15
2020-07-06,3045.43
2020-07-07,3053.35
2020-07-08,3124.38
2020-07-09,3119.98
2020-07-10,3115.11
2020-07-13,3193.76
2020-07-14,3222.03
2020-07-15,3246.55
2020-07-16,3200.56
2020-07-17,3238.62
2020-07-20,3338.67
2020-07-21,3762.67
2020-07-22,3831.47
2020-07-23,3791.86
2020-07-24,3811.99
2020-07-27,4103.84
2020-07-28,4037.74
2020-07-29,4045.74
2020-07-30,3925.51
2020-07-31,4088.91
2020-08-03,4050.99
2020-08-04,4399.57
2020-08-05,4519.36
2020-08-06,4875.15
2020-08-07,4750.73
2020-08-10,4894.48
2020-08-11,4200.62
2020-08-12,4319.4
2020-08-13,4619.93
2020-08-14,4464.35
2020-08-17,4592.25
2020-08-18,4696.02
2020-08-19,4495.55
2020-08-20,4629.75
2020-08-21,4513.78
2020-08-24,4489.84
2020-08-25,4466.39
2020-08-26,4623.75
2020-08-27,4511.73
2020-08-28,4602.09
2020-08-31,4656.23
2020-09-01,4679.35
2020-09-02,4558.68
2020-09-03,4402.05
2020-09-04,4466.54
2020-09-07,4451.47
2020-09-08,4427.89
2020-09-09,4487.37
2020-09-10,4465.48
2020-09-11,4439.75
2020-09-14,4514.32
2020-09-15,4510.6
2020-09-16,4516.09
2020-09-17,4498.17
2020-09-18,4456.37
2020-09-21,4158.42
2020-09-22,4063.82
2020-09-23,3782.92
2020-09-24,3852.64
2020-09-25,3792.55
2020-09-28,3946.05
2020-09-29,4026.88
2020-09-30,3869.88
2020-10-01,3931.47
2020-10-02,3910.14
2020-10-05,4010.05
2020-10-06,3827.09
2020-10-07,3896.89
2020-10-08,3916.18
2020-10-09,4118.75
2020-10-12,4124.34
2020-10-13,3961.83
2020-10-14,3961.17
2020-10-15,3953.02
2020-10-16,3931.22
2020-10-19,3968.29
2020-10-20,4019.84
2020-10-21,4051.78
2020-10-22,3995.87
2020-10-23,3978.85
2020-10-26,3913.35
2020-10-27,3909.97
2020-10-28,3765.11
2020-10-29,3741.29
2020-10-30,3793.84
2020-11-02,3855.11
2020-11-03,3902.18
2020-11-04,3825.26
2020-11-05,4009.64
2020-11-06,4075.03
2020-11-09,3852.87
2020-11-10,3843.09
2020-11-11,3842.6
2020-11-12,3842.25
2020-11-13,3906.97
2020-11-16,3916.51
2020-11-17,3873.33
2020-11-18,3864.58
2020-11-19,3807.16
2020-11-20,3882.91
2020-11-23,3794.01
2020-11-24,3726.73
2020-11-25,3722.11
2020-11-26,3694.99
2020-11-27,3616.44
2020-11-30,3613.79
2020-12-01,3803.69
2020-12-02,3852.95
2020-12-03,3854.38
2020-12-04,3872.41
2020-12-07,3932.0
2020-12-08,3937.34
2020-12-09,3832.34
2020-12-10,3850.23
2020-12-11,3835.59
2020-12-14,3824.61
2020-12-15,3930.76
2020-12-16,4067.63
2020-12-17,4152.74
2020-12-18,4131.14
2020-12-21,4212.96
2020-12-22,4081.44
2020-12-23,4105.92
2020-12-24,4138.2
2020-12-25,4138.46
2020-12-28,4238.28
2020-12-29,4204.2
2020-12-30,4278.01
2020-12-31,4225.99
2021-01-01,4247.78
2021-01-04,4350.95
2021-01-05,4431.68
2021-01-06,4380.72
2021-01-07,4360.11
2021-01-08,4074.35
2021-01-11,4020.49
2021-01-12,4105.71
2021-01-13,4065.38
2021-01-14,4100.46
2021-01-15,3970.19
2021-01-18,4015.27
2021-01-19,4054.97
2021-01-20,4149.5
2021-01-21,4165.01
2021-01-22,4094.4
2021-01-25,4074.18
2021-01-26,4090.19
2021-01-27,4043.13
2021-01-28,4245.67
2021-01-29,4325.94
2021-02-01,4566.83
2021-02-02,4299.05
2021-02-03,4307.22
2021-02-04,4220.75
2021-02-05,4305.34
2021-02-08,4361.19
2021-02-09,4351.35
2021-02-10,4318.33
2021-02-11,4304.51
2021-02-12,4346.61
2021-02-15,4398.81
2021-02-16,4328.88
2021-02-17,4379.79
2021-02-18,4275.2
2021-02-19,4337.37
2021-02-22,4488.2
2021-02-23,4395.43
2021-02-24,4438.37
2021-02-25,4357.38
2021-02-26,4225.75
2021-03-01,4188.83
2021-03-02,4217.4
2021-03-03,4087.02
2021-03-04,3984.24
2021-03-05,3963.15
2021-03-08,3956.71
2021-03-09,4073.51
2021-03-10,4111.88
2021-03-11,4099.38
2021-03-12,4069.16
2021-03-15,4118.09
2021-03-16,4063.23
2021-03-17,4115.43
2021-03-18,4051.31
2021-03-19,4093.44
2021-03-22,4017.45
2021-03-23,3911.24
2021-03-24,3897.22
2021-03-25,3886.97
2021-03-26,3884.86
2021-03-29,3797.52
2021-03-30,3675.81
2021-03-31,3729.39
2021-04-01,3815.58
2021-04-02,3833.37
2021-04-05,3786.74
2021-04-06,3855.23
2021-04-07,3852.92
2021-04-08,3882.34
2021-04-09,3856.83
2021-04-12,3785.18
2021-04-13,3877.82
2021-04-14,3885.63
2021-04-15,3946.48
2021-04-16,3966.68
2021-04-19,3959.69
2021-04-20,3941.58
2021-04-21,4064.9
2021-04-22,4011.62
2021-04-23,3989.7
2021-04-26,4036.23
2021-04-27,4048.99
2021-04-28,4044.58
2021-04-29,4007.92
2021-04-30,3985.83
2021-05-03,4118.94
2021-05-04,4061.93
2021-05-05,4043.87
2021-05-06,4184.32
2021-05-07,4190.92
2021-05-10,4160.0
2021-05-11,4203.64
2021-05-12,4124.94
2021-05-13,4117.75
2021-05-14,4175.0
2021-05-17,4311.27
2021-05-18,4305.09
2021-05-19,4229.27
2021-05-20,4250.06
2021-05-21,4229.08
2021-05-24,4258.54
2021-05-25,4318.85
2021-05-26,4292.75
2021-05-27,4330.24
2021-05-28,4316.82
2021-05-31,4329.63
2021-06-01,4300.03
2021-06-02,4363.7
2021-06-03,4246.19
2021-06-04,4295.1
2021-06-07,4326.75
2021-06-08,4297.84
2021-06-09,4333.28
2021-06-10,4355.79
2021-06-11,4375.61
2021-06-14,4342.07
